Colonne1,name,nickname
384,Edythe,Edie
385,Edythe,Edye
386,Elbert,Albert
387,Eleanor,Elaine
388,Eleanor,Ellen
389,Eleanor,Ellen
390,Eleanor,Ellie
391,Eleanor,Lanna
392,Eleanor,Lenora
393,Eleanor,Nelly
394,Eleanor,Nora
395,Eleazer,Lazar
396,Elias,Eli
397,Elias,Lee
398,Elias,Lias
399,Elijah,Eli
400,Elijah,Lige
401,Eliphalet,Left
402,Elisha,Eli
403,Elisha,Lish
404,Elizabeth,Bess
405,Elizabeth,Bessie
406,Elizabeth,Beth
407,Elizabeth,Betsy
408,Elizabeth,Betty
409,Elizabeth,Eliza
410,Elizabeth,Lib
411,Elizabeth,Libby
412,Elizabeth,Lisa
413,Elizabeth,Liz
414,Elizabeth,Liza
415,Elizabeth,Lizzie
416,Elisabeth,Bess
417,Elisabeth,Bessie
418,Elisabeth,Beth
419,Elisabeth,Betsy
420,Elisabeth,Betty
421,Elisabeth,Eliza
422,Elisabeth,Lib
423,Elisabeth,Libby
424,Elisabeth,Lisa
425,Elisabeth,Liz
426,Elisabeth,Liza
427,Elisabeth,Lizzie
428,Ellswood,Elsey
429,Elmira,Ellie
430,Elmira,Elly
431,Elmira,Mira
432,Elouise,Louise
433,Elsie,Elsey
434,Elswood,Elsey
435,Elwood,Woody
436,Elze,Elsey
437,Emanuel,Manny
438,Emanuel,Manuel
439,Emeline,Em
440,Emeline,Emily
441,Emeline,Emma
442,Emeline,Emmy
443,Emeline,Milly
444,Emily,Emma
445,Emily,Emmy
446,Emily,Millie
447,Epaphroditius,Dite
448,Epaphroditius,Ditus
449,Epaphroditius,Dyce
450,Epaphroditius,Dyche
451,Epaphroditius,Eppa
452,Ephraim,Eph
453,Eric,Rick
454,Eric,Ricky
455,Ernest,Ernie
456,Estella,Essy
457,Estella,Stella
458,Estelle,Essy
459,Estelle,Stella
460,Eugene,Gene
461,Evaline,Eva
462,Evaline,Eve
463,Evaline,Lena
464,Ezekiel,Ez
465,Ezekiel,Zeke
466,Ezra,Ez
467,Faith,Fay
468,Feltie,Felty
469,Ferdinand,Ferdie
470,Ferdinand,Fred
471,Ferdinand,Freddie
472,Ferdinand,Freddy
473,Fidelia,Delia
474,Florence,Flo
475,Florence,Flora
476,Florence,Flossy
477,Frances,Cissy
478,Frances,Fanny
479,Frances,Fran
480,Frances,Francie
481,Frances,Frankie
482,Frances,Frannie
483,Frances,Franniey
484,Frances,Sis
485,Francine,Fran
486,Francine,Francie
487,Francine,Frannie
488,Francine,Franniey
489,Francis,Fran
490,Francis,Fran
491,Francis,Frank
492,Francis,Frankie
493,Franklin,Fran
494,Franklin,Frank
495,Franklind,Frank
496,Frederick,Fred
497,Frederick,Fred
498,Frederick,Freddie
499,Frederick,Freddy
500,Frederick,Freddy
501,Frederick,Fritz
502,Fredericka,Freda
503,Fredericka,Freddy
504,Fredericka,Frieda
505,Fredericka,Ricka
506,Frieda,Fred
507,Frieda,Freddie
508,Frieda,Freddy
509,Gabriel,Gabby
510,Gabriel,Gabe
511,Gabriella,Ella
512,Gabriella,Gabby
513,Gabrielle,Ella
514,Gabrielle,Gabby
515,Genevieve,Eve
516,Genevieve,Jean
517,Genevieve,Jenny
518,Geoffrey,Geoff
519,Geoffrey,Jeff
520,Gerald,Gerry
521,Gerald,Jerry
522,Geraldine,Dina
523,Geraldine,Gerrie
524,Geraldine,Gerry
525,Geraldine,Jerry
526,Gertrude,Gert
527,Gertrude,Gertie
528,Gertrude,Trudy
529,Gilbert,Bert
530,Gilbert,Bert
531,Gilbert,Gil
532,Gilbert,Wilber
533,Gwendolyn,Gwen
534,Gwendolyn,Wendy
535,Hannah,Anna
536,Hannah,Nan
537,Hannah,Nanny
538,Harold,Hal
539,Harold,Harry
540,Harriet,Hattie
541,Helen,Ella
542,Helen,Ellen
543,Helen,Ellie
544,Helen,Lena
545,Helene,Ella
546,Helene,Ellen
547,Helene,Ellie
548,Helene,Lena
549,Heloise,Eloise
550,Heloise,Elouise
551,Heloise,Lois
552,Henrietta,Etta
553,Henrietta,Etty
554,Henrietta,Hank
555,Henrietta,Nettie
556,Henrietta,Retta
557,Henry,Hal
558,Henry,Hank
559,Henry,Harry
560,Hephsibah,Hipsie
561,Hepsibah,Hipsie
562,Herbert,Bert
563,Herbert,Herb
564,Hermione,Hermie
565,Hester,Esther
566,Hester,Hessy
567,Hester,Hetty
568,Hezekiah,Hez
569,Hezekiah,Hy
570,Hezekiah,Kiah
571,Hiram,Hy
572,Hopkins,Hop
573,Hopkins,Hopp
574,Horace,Horry
575,Hubert,Bert
576,Hubert,Bert
577,Hubert,Hub
578,Hubert,Hugh
579,Ignatius,Iggy
580,Ignatius,Nace
581,Ignatius,Nate
582,Ignatius,Natius
583,Irene,Rena
584,Irving,Irv
585,Isaac,Ike
586,Isaac,Zeke
587,Isabel,Bell
588,Isabel,Bella
589,Isabel,Belle
590,Isabel,Ib
591,Isabel,Issy
592,Isabel,Nib
593,Isabel,Nibby
594,Isabel,Tibbie
595,Isabella,Bella
596,Isabella,Belle
597,Isabella,Ib
598,Isabella,Issy
599,Isabella,Nib
600,Isabella,Nibby
601,Isabella,Tibbie
602,Isabelle,Bella
603,Isabelle,Belle
604,Isabelle,Ib
605,Isabelle,Issy
606,Isabelle,Nib
607,Isabelle,Nibby
608,Isabelle,Tibbie
609,Isadora,Dora
610,Isadora,Issy
611,Isidore,Izzy
612,Jacob,Jaap
613,Jacob,Jake
614,Jacob,Jay
615,Jacob,Jay
616,Jacobus,Jacob
617,James,Jamie
618,James,Jem
619,James,Jim
620,James,Jimmie
621,James,Jimmy
622,Jane,Janie
623,Jane,Jean
624,Jane,Jennie
625,Jane,Jessie
626,Janet,Jan
627,Janet,Jan
628,Janet,Jessie
629,Janice,Jan
630,Jean,Jane
631,Jean,Jeannie
632,Jeanette,Janet
633,Jeanette,Jean
634,Jeanette,Jessie
635,Jeanette,Nettie
636,Jeanne,Jane
637,Jeanne,Jeannie
638,Jedidiah,Jed
639,Jefferson,Jeff
640,Jefferson,Sonny
641,Jeffrey,Geoff
642,Jeffrey,Jeff
643,Jeffrey,Jeff
644,Jehiel,Hiel
645,Jemima,Mima
646,Jennifer,Jennie
647,Jeremiah,Jereme
648,Jeremiah,Jerry
649,Jessica,Jessie
650,Joan,Jo
651,Joan,Nonie
652,Joann,Jo
653,Joanna,Hannah
654,Joanna,Jo
655,Joanna,Joan
656,Joanna,Jody
657,Joanne,Jo
658,Johanna,Jo
659,Johannah,Hannah
660,Johannah,Joan
661,Johannah,Jody
662,Johannah,Nonie
663,John,Jack
664,John,Jock
665,John,Johnny
666,Jon,John
667,Jon,Nathan
668,Jonathan,John
669,Jonathan,Nathan
670,Joseph,Jody
671,Joseph,Joe
672,Joseph,Joey
673,Joseph,Jos
674,Josephine,Fina
675,Josephine,Jo
676,Josephine,Jody
677,Josephine,Joey
678,Josephine,Josey
679,Joshua,Jos
680,Joshua,Josh
681,Josiah,Jos
682,Joyce,Joy
683,Juanita,Nettie
684,Juanita,Nita
685,Judson,Jud
686,Judson,Sonny
687,Julia,Jill
688,Julia,Julie
689,Julian,Jule
690,Julias,Jule
691,Junior,JR
692,Junior,June
693,Junior,Junie
694,Kasey,K.C.
695,Katelin,Kate
696,Katelin,Kay
697,Katelin,Kaye
698,Katelyn,Kate
699,Katelyn,Kay
700,Katelyn,Kaye
701,Katherine,Cassie
702,Katherine,Cathy
703,Katherine,Kate
704,Katherine,Kathy
705,Katherine,Katy
706,Katherine,Kay
707,Katherine,Kaye
708,Katherine,Kit
709,Katherine,Kittie
710,Katherine,Lena
711,Katherine,Trina
712,Kathleen,Cassie
713,Kathleen,Cathy
714,Kathleen,Kathy
715,Kathleen,Kathy
716,Kathleen,Katy
717,Kathleen,Kay
718,Kathleen,Kit
719,Kathleen,Kittie
720,Kathleen,Lena
721,Kathleen,Trina
722,Kathryn,Kathy
723,Kendall,Ken
724,Kendall,Kenny
725,Kenneth,Ken
726,Kenneth,Kendrick
727,Kenneth,Kenny
728,Kent,Ken
729,Kent,Kendrick
730,Kent,Kenny
731,Keziah,Kizza
732,Keziah,Kizzie
733,Kimberley,Kim
734,Kimberly,Kim
735,Kingsley,King
736,Kingston,King
737,Kristen,Chris
738,Kristin,Chris
739,Kristine,Chris
740,Kristine,Christy
741,Kristine,Crissy
742,Kristine,Kris
743,Kristine,Kristy
744,Kristine,Tina
745,Kristy,Chris
746,Lafayette,Fate
747,Lafayette,Laffie
748,Lamont,Monty
749,Laurence,Larry
750,Laurence,Lon
751,Laurence,Lonny
752,Laurence,Lorne
753,Laurence,Lorry
754,Lavina,Ina
755,Lavina,Vina
756,Lavina,Viney
757,Lavinia,Ina
758,Lavinia,Vina
759,Lavinia,Viney
760,Lawrence,Larry
761,Lawrence,Lon
762,Lawrence,Lonny
763,Lawrence,Lorne
764,Lawrence,Lorry
765,Lemuel,Lem
766,Lenora,Lee
767,Lenora,Nora
768,Leonard,Len
769,Leonard,Lenny
770,Leonard,Leo
771,Leonard,Leon
772,Leonard,Lineau
773,LeRoy,L.R.
774,LeRoy,Lee
775,LeRoy,Roy
776,Leslie,Les
777,Lester,Les
778,Letitia,Lettice
779,Letitia,Lettie
780,Letitia,Tish
781,Letitia,Titia
782,Levi,Lee
783,Lidia,Lyddy
784,Lillah,Lil
785,Lillah,Lilly
786,Lillah,Lily
787,Lillah,Lolly
788,Lillian,Lil
789,Lillian,Lilly
790,Lillian,Lolly
791,Lincoln,Link
792,Linda,Lindy
793,Linda,Lynn
794,Lisa,Alice
795,Lisa,Melissa
796,Lois,Louise
797,Lorenzo,Loren
798,Loretta,Etta
799,Loretta,Lorrie
800,Loretta,Retta
801,Lorraine,Lorrie
802,Louisa,Eliza
803,Louisa,Lois
804,Louisa,Lou
805,Louise,Eliza
806,Louise,Lois
807,Louise,Lou
808,Lucas,Luke
809,Lucias,Luke
810,Lucille,Cille
811,Lucille,Lou
812,Lucille,Lu
813,Lucille,Lucy
814,Lucinda,Cindy
815,Lucinda,Lou
816,Lucinda,Lu
817,Lucinda,Lucy
818,Luella,Ella
819,Luella,Lu
820,Luella,Lula
821,Luther,Luke
822,Lydia,Lyddy
823,Lyndon,Lindy
824,Lyndon,Lynn
825,Madeline,Lena
826,Madeline,Maddy
827,Madeline,Madge
828,Madeline,Magda
829,Madeline,Maggie
830,Magdelina,Lena
831,Magdelina,Madge
832,Magdelina,Magda
833,Mahala,Hallie
834,Marcus,Mark
835,Margaret,Daisy
836,Margaret,Gretta
837,Margaret,Madge
838,Margaret,Maggie
839,Margaret,Maggy
840,Margaret,Marge
841,Margaret,Margery
842,Margaret,Margie
843,Margaret,Margie
844,Margaret,Margy
845,Margaret,Meg
846,Margaret,Midge
847,Margaret,Peg
848,Margaret,Peggy
849,Margaret,Peggy
850,Margaret,Rita
851,Margaretta,Daisy
852,Margaretta,Gretta
853,Margaretta,Madge
854,Margaretta,Maggie
855,Margaretta,Marge
856,Margaretta,Margery
857,Margaretta,Margie
858,Margaretta,Meg
859,Margaretta,Midge
860,Margaretta,Peg
861,Margaretta,Peggy
862,Margaretta,Rita
863,Marjorie,Margie
864,Marjorie,Margy
865,Martha,Marty
866,Martha,Mat
867,Martha,Mattie
868,Martha,Patsy
869,Martha,Patty
870,Martin,Marty
871,Martina,Tina
872,Marvin,Marv
873,Mary,Mae
874,Mary,Mamie
875,Mary,Mitzi
876,Mary,Molly
877,Mary,Polly
878,Matilda,Matty
879,Matilda,Maud
880,Matilda,Tilly
881,Matthew,Matt
882,Matthew,Mattie
883,Matthew,Matty
884,Matthew,Thias
885,Matthew,Thys
886,Matthias,Matt
887,Matthias,Thias
888,Matthias,Thys
889,Maurice,Morey
890,Mehitabel,Hetty
891,Mehitabel,Hitty
892,Mehitabel,Mabel
893,Mehitabel,Mitty
894,Melinda,Linda
895,Melinda,Lindy
896,Melinda,Lindy
897,Melinda,Lynn
898,Melinda,Mel
899,Melinda,Mindy
900,Melissa,Lisa
901,Melissa,Lissa
902,Melissa,Mel
903,Melissa,Milly
904,Melissa,Missy
905,Mervyn,Merv
906,Michael,Micah
907,Michael,Mick
908,Michael,Micky
909,Michael,Mike
910,Michelle,Mickey
911,Mildred,Milly
912,Millicent,Milly
913,Millicent,Missy
914,Minerva,Minnie
915,Miranda,Mandy
916,Miranda,Mira
917,Miranda,Randy
918,Miriam,Mimi
919,Miriam,Mitzi
920,Mitchell,Mitch
921,Montgomery,Gum
922,Montgomery,Monty
923,Morris,Morey
924,Nancy,Ann
925,Nancy,Nan
926,Nancy,Nan
927,Napoleon,Leon
928,Napoleon,Nap
929,Napoleon,Nappy
930,Natalie,Natty
931,Natalie,Nettie
932,Nathan,Nat
933,Nathan,Nate
934,Nathaniel,Nat
935,Nathaniel,Nate
936,Nathaniel,Nathan
937,Nathaniel,Natty
938,Nathaniel,Than
939,Nicholas,Claas
940,Nicholas,Claes
941,Nicholas,Nick
942,Norbert,Bert
943,Norbert,Norby
944,Obadiah,Diah
945,Obadiah,Dyer
